;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
notherle;dude_stay;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @dude_stay: Plz help us save the this game from crazy bots and help join the tf2 community. #SafeTF2 https://t.co/YzjzgfiUe9;;;safetf2;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512745107869699;;;1529512745107869699;
notherle;facikwacik;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @FacikWacik: My favorite game is dying 😪😓 #safetf2 https://t.co/TILdXHeC6Q;;;safetf2;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512754402541568;;;1529512754402541568;
notherle;crazycold739;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @CraZyCold739: I associate with this game not only my entire childhood but also positive experiences with honestly one of the best commu…;;;;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512770017841152;;;1529512770017841152;
notherle;filippecak;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @FilipPecak: Hi people. Let's save #SafeTF2  from the hands of neglect VLAVe. I got to know this action during a YouTube post @daliggows…;;;safetf2;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512778284912643;;;1529512778284912643;
notherle;u_yousolame;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @u_yousolame: I been playing tf2 for a few months now,and I made lots of great memories,but the game is unplayable rn with all those bot…;;;;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512792792961026;;;1529512792792961026;
notherle;time5747;;;;;;;;;;;;;Mentions;25/05/2022 17:20;RT @time5747: #safetf2 We already wait a long time VALVE is time to have an improvement #safetf2;;;safetf2 safetf2;25/05/2022 17:20;https://twitter.com/#!/notherle/status/1529512840117243904;;;1529512840117243904;
notherle;crazycold739;;;;;;;;;;;;;Mentions;25/05/2022 17:21;RT @CraZyCold739: I had the best gaming and most memorable experience a few years ago in tf2. Still to this day I enjoy playing it eventhou…;;;;25/05/2022 17:21;https://twitter.com/#!/notherle/status/1529512890759319552;;;1529512890759319552;
notherle;gabelnewell;;;;;;;;;;;;;Mentions;25/05/2022 17:21;"RT @dyan47638779: MR.@GabeLNewell 
Please update TF2!Bot is a HUGE problem. You can saw 
 a lot of bots in a server. Please safe TF2.
#Safe…";;;;25/05/2022 17:21;https://twitter.com/#!/notherle/status/1529512903283466242;;;1529512903283466242;
notherle;dyan47638779;;;;;;;;;;;;;Mentions;25/05/2022 17:21;"RT @dyan47638779: MR.@GabeLNewell 
Please update TF2!Bot is a HUGE problem. You can saw 
 a lot of bots in a server. Please safe TF2.
#Safe…";;;;25/05/2022 17:21;https://twitter.com/#!/notherle/status/1529512903283466242;;;1529512903283466242;
notherle;ritzin3;;;;;;;;;;;;;Mentions;25/05/2022 17:21;RT @Ritzin3: #saveTF2 #safeTF2;;;savetf2 safetf2;25/05/2022 17:21;https://twitter.com/#!/notherle/status/1529512916445282304;;;1529512916445282304;
joseeliansalva1;joseeliansalva1;;;;;;;;;;;;;Tweet;25/05/2022 21:04;#SafeTF2;;;safetf2;25/05/2022 21:04;https://twitter.com/#!/joseeliansalva1/status/1529569040775118849;;;1529569040775118849;
margisstupid;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 04:04;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 04:04;https://twitter.com/#!/margisstupid/status/1529674814855778304;;;1529674814855778304;
wisco1180;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 04:12;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 04:12;https://twitter.com/#!/wisco1180/status/1529676776154218496;;;1529676776154218496;
